Quan_huyen,Loai_hinh,Dien_tich,Tong_so_tang,Tang_phong,Thang_may,Noi_that,Ban_cong_Cua_so,Khu_bep,Ve_sinh,May_giat,Vi_tri_ngo,Cho_nuoi_pet,Gia_dien,Khoang_cach_TT,Gia_phong
Hà Đông,Trọ thường,33,8,2,Có,Đồ cũ/Thiếu đồ,Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Không có máy giặt,Xe máy tránh nhau,Cấm nuôi Pet,Giá dân,6160,3923247
Long Biên,Căn hộ dịch vụ (Studio),41,3,3,Không,"Full đồ Luxury (Smart TV, Sofa...)",Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Không có máy giặt,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,3500,9145,8333454
Gia Lâm,Trọ thường,17,7,6,Có,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,3500,8741,3318770
Hoàn Kiếm,Căn hộ dịch vụ (Studio),27,5,2,Không,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Không có máy giặt,Xe máy tránh nhau,Cấm nuôi Pet,4000,10433,9967292
Tây Hồ,Chung cư mini,32,6,4,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3500,9363,18134648
Long Biên,Chung cư mini,28,6,3,Có,Nhà trống,Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cho nuôi Pet,3800,6749,7671433
Nam Từ Liêm,1N1K (1 Khách 1 Ngủ),43,7,3,Có,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,Giá dân,6162,12164774
Thanh Xuân,Trọ thường,22,4,4,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cho nuôi Pet,4000,7810,4844893
Bắc Từ Liêm,Homestay (Sleepbox),6,8,2,Có,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cho nuôi Pet,4000,3704,1000000
Đống Đa,Căn hộ dịch vụ (Studio),40,3,1,Không,Nhà trống,Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cấm nuôi Pet,3500,5655,12591949
Bắc Từ Liêm,1N1K (1 Khách 1 Ngủ),56,7,1,Có,"Full đồ Luxury (Smart TV, Sofa...)",Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cấm nuôi Pet,Giá dân,8860,12603246
Hoàng Mai,Trọ thường,27,4,2,Không,"Full đồ Luxury (Smart TV, Sofa...)",Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,Giá dân,4208,5427531
Hoàn Kiếm,Trọ thường,17,8,6,Có,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,3500,9176,6083086
Long Biên,Trọ thường,30,7,7,Có,Nhà trống,Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,4000,3972,4291727
Ba Đình,Chung cư mini,17,9,5,Có,Nhà trống,Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cho nuôi Pet,4000,6386,5210829
Ba Đình,Chung cư mini,18,7,3,Có,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Không có máy giặt,Xe máy tránh nhau,Cấm nuôi Pet,4000,10779,4869548
Hoàn Kiếm,Chung cư mini,27,8,6,Có,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Không có máy giặt,Xe máy tránh nhau,Cấm nuôi Pet,4000,1967,11271960
Hà Đông,Căn hộ dịch vụ (Studio),45,3,1,Không,Nhà trống,Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,Giá dân,9037,10294088
Long Biên,Trọ thường,28,8,2,Có,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cấm nuôi Pet,3500,1221,7530499
Gia Lâm,Homestay (Sleepbox),9,9,3,Có,Nhà trống,Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cho nuôi Pet,4000,2223,1284330
Hà Đông,Chung cư mini,32,4,2,Không,Nhà trống,Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Không có máy giặt,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,3800,6123,7178413
Bắc Từ Liêm,Homestay (Sleepbox),7,9,3,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,3800,2463,1379622
Cầu Giấy,Trọ thường,18,4,1,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,3800,10775,3606526
Cầu Giấy,Trọ thường,18,4,3,Không,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cấm nuôi Pet,3500,11667,5065082
Long Biên,1N1K (1 Khách 1 Ngủ),50,6,1,Có,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Không có máy giặt,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,Giá dân,1469,10732957
Hai Bà Trưng,Homestay (Sleepbox),10,3,2,Không,Nhà trống,Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Khép kín (Cơ bản),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,Giá dân,5540,1036765
Hoàng Mai,Căn hộ dịch vụ (Studio),45,4,3,Không,Nhà trống,Ban công rộng thoáng,Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cho nuôi Pet,Giá dân,6222,8448590
Gia Lâm,Căn hộ dịch vụ (Studio),37,7,1,Không,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,3500,6925,8492216
Hoàn Kiếm,Trọ thường,20,8,3,Có,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Không có máy giặt,Ba gác tránh/Ngõ nông,Cho nuôi Pet,Giá dân,510,8385447
Long Biên,1N1K (1 Khách 1 Ngủ),58,7,4,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3800,1005,10326192
Hà Đông,Trọ thường,27,7,6,Có,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,3800,6182,5413073
Long Biên,Homestay (Sleepbox),10,7,3,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Không có máy giặt,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,Giá dân,9090,1319795
Thanh Xuân,Trọ thường,20,3,1,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,3500,11923,6882145
Hoàng Mai,Trọ thường,35,8,3,Có,Đồ cũ/Thiếu đồ,Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,4000,4952,4327961
Tây Hồ,Trọ thường,30,8,3,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Khép kín (Cơ bản),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,3500,2861,7319359
Thanh Xuân,Căn hộ dịch vụ (Studio),43,5,3,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cấm nuôi Pet,Giá dân,3455,20546027
Cầu Giấy,Homestay (Sleepbox),9,8,6,Không,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Không có máy giặt,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,3800,5709,1077554
Hai Bà Trưng,Trọ thường,32,9,4,Có,Nhà trống,Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cấm nuôi Pet,Giá dân,1085,7055583
Ba Đình,1N1K (1 Khách 1 Ngủ),35,3,1,Không,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cấm nuôi Pet,3800,11967,9140310
Ba Đình,Trọ thường,24,5,4,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,Giá dân,6139,7802439
Tây Hồ,Trọ thường,26,3,3,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Ban công rộng thoáng,Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cấm nuôi Pet,4000,8766,6496035
Ba Đình,Homestay (Sleepbox),9,3,1,Không,Đồ cũ/Thiếu đồ,Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,4000,4386,2082762
Nam Từ Liêm,Căn hộ dịch vụ (Studio),34,3,2,Không,Đồ cũ/Thiếu đồ,Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,Giá dân,7317,4840791
Tây Hồ,Căn hộ dịch vụ (Studio),32,3,1,Không,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Không có máy giặt,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,4000,9690,10320751
Bắc Từ Liêm,1N1K (1 Khách 1 Ngủ),58,7,3,Không,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,3500,8896,5568608
Hai Bà Trưng,Trọ thường,27,3,3,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,3800,6758,7161813
Hai Bà Trưng,Căn hộ dịch vụ (Studio),37,5,2,Không,Đồ cũ/Thiếu đồ,Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3500,6475,10828922
Thanh Xuân,1N1K (1 Khách 1 Ngủ),38,6,3,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Không có máy giặt,Xe máy tránh nhau,Cấm nuôi Pet,3500,8208,10032210
Cầu Giấy,Căn hộ dịch vụ (Studio),44,8,8,Không,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cho nuôi Pet,4000,1068,11727448
Nam Từ Liêm,1N1K (1 Khách 1 Ngủ),58,3,3,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cấm nuôi Pet,3800,9679,16961070
Hoàng Mai,Homestay (Sleepbox),7,8,1,Không,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cấm nuôi Pet,3800,570,1365837
Tây Hồ,Chung cư mini,32,6,6,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Không có máy giặt,Ba gác tránh/Ngõ nông,Cho nuôi Pet,3800,5414,15664380
Ba Đình,Chung cư mini,23,5,2,Không,Nhà trống,Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cho nuôi Pet,3800,5869,4902343
Cầu Giấy,Căn hộ dịch vụ (Studio),40,3,3,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cho nuôi Pet,3500,3131,13135921
Hà Đông,Căn hộ dịch vụ (Studio),40,5,5,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Không có máy giặt,Xe máy tránh nhau,Cho nuôi Pet,4000,9271,4591955
Hai Bà Trưng,Căn hộ dịch vụ (Studio),25,4,1,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cấm nuôi Pet,3800,4255,8286081
Tây Hồ,1N1K (1 Khách 1 Ngủ),53,3,1,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,Giá dân,9830,8957749
Cầu Giấy,Chung cư mini,32,7,7,Có,Nhà trống,Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cho nuôi Pet,3500,982,12607514
Hà Đông,Căn hộ dịch vụ (Studio),33,3,2,Không,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cho nuôi Pet,Giá dân,4787,9067216
Hà Đông,1N1K (1 Khách 1 Ngủ),39,4,3,Không,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cho nuôi Pet,Giá dân,10741,7506411
Gia Lâm,Căn hộ dịch vụ (Studio),31,4,1,Không,Nhà trống,Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cho nuôi Pet,Giá dân,8291,4090356
Thanh Xuân,1N1K (1 Khách 1 Ngủ),58,9,6,Không,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3800,8405,8199320
Tây Hồ,Căn hộ dịch vụ (Studio),28,9,2,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ kính lớn (Big Window),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,4000,3213,15423697
Thanh Xuân,1N1K (1 Khách 1 Ngủ),60,9,8,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,Giá dân,2847,17681753
Hoàn Kiếm,Căn hộ dịch vụ (Studio),30,9,9,Không,"Full đồ Luxury (Smart TV, Sofa...)",Ban công rộng thoáng,Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Không có máy giặt,Xe máy tránh nhau,Cấm nuôi Pet,4000,4119,11384994
Nam Từ Liêm,1N1K (1 Khách 1 Ngủ),60,7,4,Không,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,Giá dân,3485,11671847
Bắc Từ Liêm,Homestay (Sleepbox),5,8,8,Có,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,3500,11672,1000000
Bắc Từ Liêm,Homestay (Sleepbox),8,9,7,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Không cửa sổ (Phòng hộp),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cho nuôi Pet,4000,2882,1036394
Hà Đông,1N1K (1 Khách 1 Ngủ),43,9,7,Có,Nhà trống,Ban công rộng thoáng,Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,3500,11422,8780334
Cầu Giấy,1N1K (1 Khách 1 Ngủ),49,9,8,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ giếng trời (Nhìn tường),Kệ bếp trong phòng,Vệ sinh chung (Chung tầng),Không có máy giặt,Xe máy tránh nhau,Cho nuôi Pet,3800,2308,7912264
Hoàng Mai,Trọ thường,15,3,2,Không,Nhà trống,Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cấm nuôi Pet,4000,4066,2765565
Tây Hồ,Homestay (Sleepbox),5,6,2,Có,"Full đồ Luxury (Smart TV, Sofa...)",Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,Giá dân,10663,2806540
Long Biên,Homestay (Sleepbox),5,6,3,Có,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Máy giặt chung (Sân thượng),Ba gác tránh/Ngõ nông,Cấm nuôi Pet,4000,3867,1000000
Hà Đông,Căn hộ dịch vụ (Studio),42,6,3,Có,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,4000,7754,8526027
Bắc Từ Liêm,Chung cư mini,32,9,1,Có,"Full đồ Luxury (Smart TV, Sofa...)",Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Không có máy giặt,Ba gác tránh/Ngõ nông,Cho nuôi Pet,3800,6344,10249400
Đống Đa,Căn hộ dịch vụ (Studio),40,5,1,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ giếng trời (Nhìn tường),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Xe máy tránh nhau,Cấm nuôi Pet,4000,1491,8592713
Bắc Từ Liêm,Homestay (Sleepbox),9,8,1,Có,Đồ cũ/Thiếu đồ,Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Không có máy giặt,Ba gác tránh/Ngõ nông,Cho nuôi Pet,4000,11687,1000000
Ba Đình,Căn hộ dịch vụ (Studio),27,3,3,Không,Nhà trống,Cửa sổ kính lớn (Big Window),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,4000,2007,8144680
Tây Hồ,Trọ thường,32,9,3,Có,Nhà trống,Không cửa sổ (Phòng hộp),Kệ bếp trong phòng,Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Ngõ ngách sâu/Hẻm nhỏ,Cho nuôi Pet,Giá dân,11572,5154062
Cầu Giấy,1N1K (1 Khách 1 Ngủ),57,9,2,Có,"Full đồ Luxury (Smart TV, Sofa...)",Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Khép kín (Có vách kính tắm),Máy giặt chung (Sân thượng),Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,4000,9395,16973941
Hoàn Kiếm,Homestay (Sleepbox),6,5,1,Không,Đồ cũ/Thiếu đồ,Ban công rộng thoáng,Nấu ăn chung khu (Tầng 1),Khép kín (Cơ bản),Không có máy giặt,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3500,11226,2229274
Cầu Giấy,1N1K (1 Khách 1 Ngủ),59,3,2,Không,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Khép kín (Cơ bản),Máy giặt riêng trong phòng,Mặt phố/Oto đỗ cửa,Cho nuôi Pet,Giá dân,2402,20596394
Đống Đa,Chung cư mini,15,9,8,Không,Đồ cũ/Thiếu đồ,Không cửa sổ (Phòng hộp),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cho nuôi Pet,3500,5255,3989176
Đống Đa,Chung cư mini,26,8,5,Có,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,3800,10318,6830580
Tây Hồ,Homestay (Sleepbox),9,5,4,Không,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Kệ bếp trong phòng,Khép kín (Cơ bản),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cho nuôi Pet,3800,8876,1436852
Nam Từ Liêm,Căn hộ dịch vụ (Studio),26,6,5,Không,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Kệ bếp trong phòng,Khép kín (Cơ bản),Không có máy giặt,Ba gác tránh/Ngõ nông,Cho nuôi Pet,Giá dân,11887,6560991
Gia Lâm,Homestay (Sleepbox),7,9,8,Có,Nhà trống,Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Vệ sinh chung (Chung tầng),Máy giặt riêng trong phòng,Xe máy tránh nhau,Cấm nuôi Pet,3500,10656,1000000
Gia Lâm,Trọ thường,17,4,4,Không,Đồ cũ/Thiếu đồ,Cửa sổ giếng trời (Nhìn tường),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Không có máy giặt,Ngõ ngách sâu/Hẻm nhỏ,Cấm nuôi Pet,4000,8963,1688345
Hoàng Mai,Trọ thường,23,7,7,Không,"Cơ bản (Giường, tủ, nóng lạnh, ĐH)",Cửa sổ kính lớn (Big Window),Bếp tách biệt (Ngăn mùi),Khép kín (Có vách kính tắm),Máy giặt riêng trong phòng,Ba gác tránh/Ngõ nông,Cấm nuôi Pet,Giá dân,4221,6344217
Hoàng Mai,Trọ thường,29,9,4,Có,"Full đồ Luxury (Smart TV, Sofa...)",Không cửa sổ (Phòng hộp),Nấu ăn chung khu (Tầng 1),Vệ sinh chung (Chung tầng),Máy giặt chung (Sân thượng),Mặt phố/Oto đỗ cửa,Cho nuôi Pet,3800,2023,4420521
